head	rel	tail
26	61	16823
19141	120	2111
6404	48	9326
26808	70	27775
3793	109	16602
14499	15	14000
9807	102	7098
16931	102	5855
1154	115	22468
14719	124	16025
3692	39	24208
19045	129	22843
6627	28	17730
231	93	24502
19635	3	7567
19073	5	11124
13898	39	23370
17387	120	17868
6888	70	16335
17718	70	21973
26950	93	21023
10056	44	26871
5995	124	15672
6629	33	24275
1652	106	24185
25981	4	26265
26767	3	11214
10239	62	19303
14736	28	27032
8090	15	14000
15542	36	19811
2871	118	17849
20325	83	19811
7750	48	12456
14364	70	7367
23043	72	13307
1936	62	2393
13122	129	21958
27163	124	24430
24513	53	21366
14249	119	23012
25754	93	26886
17218	5	19835
3362	36	4184
3614	118	12456
1997	76	22468
21352	48	2846
15988	47	18688
13510	5	9521
22625	16	11124
26393	39	24208
26158	53	5970
26911	3	18189
21543	103	3709
19255	16	11124
14466	4	18767
22776	85	16893
11843	106	24185
20682	2	9562
20261	70	5930
22265	3	16893
21115	110	25454
219	61	27775
7463	3	15249
13048	3	11214
15612	115	22468
4693	33	24275
24313	118	5998
18035	37	23370
13529	33	24275
23810	118	3464
18140	7	4842
2880	70	16823
25577	62	8198
13817	36	12561
2461	110	25454
20712	70	857
10496	120	2111
743	124	2393
10417	118	3464
18244	4	7
19316	124	15672
7093	62	15881
14539	25	23150
4741	16	11124
16922	119	25466
21678	106	24185
7821	102	26827
11507	36	22126
26841	3	11214
8515	62	7176
13815	117	5163
750	3	5145
12756	3	16893
13995	33	11202
9437	95	26994
16770	124	22718
9347	16	11124
10730	36	12456
15504	21	14458
6740	108	3986
19161	33	24275
18916	115	22468
20021	117	5163
14533	3	15249
15250	11	22468
21420	16	11124
14023	115	22468
11033	4	18767
10309	93	21023
4848	124	24430
6718	120	17868
7630	25	5197
25548	109	23742
8624	83	5163
17710	109	26871
12854	46	17996
9682	16	11124
10590	36	17880
6637	4	18767
27829	62	19303
5709	70	27775
27743	62	2393
16039	83	13452
15742	115	22468
22773	106	24185
3562	117	5163
8442	19	20848
27674	49	15249
23589	85	16893
18835	16	11124
4955	39	22452
21835	33	17785
19667	16	11124
21047	115	22468
20363	66	22147
21894	53	24370
27385	119	23012
9773	62	15672
27786	120	2111
16329	5	20004
6093	49	16893
4535	33	24275
20742	131	1186
261	25	6760
10254	70	5930
15121	33	24275
10764	16	11124
1523	33	24275
12217	115	22468
12744	39	12827
10280	102	2111
25291	71	2111
19954	70	10888
18682	85	23029
3341	3	20161
18361	124	25328
6716	37	12827
3088	25	23150
853	53	11993
4901	120	2811
21461	33	24275
11991	39	24208
23833	16	23866
22274	62	16025
21823	62	5518
21504	45	5198
14699	109	25644
24140	53	27729
11905	72	23648
